name_serie,release_date,channel,runtime,end_date,genre,rating,votes
Another,"Apr. 14, 2014",Cartoon Network,11m,"Apr. 28, 2018",Amigos,9,107
Chowder,"Jun. 07, 2002",Disney Channel,30m,"Sep. 07, 2007",Action & Adventure,9.4,107
My Little Pony: La magia de la amistad,"Mar. 31, 2017",Netflix,55m,"Mar. 31, 2017",Drama,9.2,106
Blood+,"Apr. 05, 2007",TV Tokyo,25m,"Jan. 26, 2012",Action & Adventure,9.6,106
Banana Fish,"Apr. 06, 2003",Fuji TV,30m,"Mar. 26, 2006",Animacion,9.5,105
Hotel Transilvania: La serie,"Aug. 12, 2017",Disney XDDisney Channel,22m,"Aug. 18, 2018",Animacion,9.4,105
"Xena, la princesa guerrera","Jul. 25, 2004",TV TokyoAnimax,25m,"Oct. 17, 2004",Animacion,9.4,103
Owari no Seraph,"Jan. 28, 2004",Rai 2,30m,"Jan. 09, 2016",Action & Adventure,9.5,103
Dragon Ball GT,"Oct. 24, 1994",American Broadcasting Company,22m,"Feb. 15, 1997",Action & Adventure,9.5,100
The Venture Bros.,"Jul. 01, 2006",TV Tokyo,30m,"Jun. 30, 2007",Accion,8.8,99
La granja,"Oct. 09, 2011",Chiba Television Broadcasting,25m,"Apr. 15, 2012",Action & Adventure,8.8,99
El show de Scooby Doo,"Jan. 04, 1999",Cartoon Network,30m,"Jun. 29, 2008",Animacion,9.5,99
Flint y los viajeros del tiempo,"Jan. 10, 2015",Fuji TV,24m,"Jul. 01, 2016",Action & Adventure,9.5,97
Looney Tunes,"Jan. 23, 1985",Broadcast syndication,22m,"Sep. 29, 1989",Action & Adventure,9.1,96
Patoaventuras 1987,"Apr. 03, 1998",,25m,"Jun. 26, 1998",Accion,9.6,95
Digimon Fusion / Xros Wars (Digimon Hunters),"Apr. 04, 2016",TV Tokyo,25m,"Sep. 19, 2016",Action & Adventure,9.4,95
Proyecto Z,"Jul. 07, 2017",Netflix,24m,"Jul. 07, 2017",Action & Adventure,9.2,94
Dientes de lata,"Oct. 01, 1976",TV Asahi,25m,"Feb. 02, 1979",Animacion,9.8,94
Bungou Stray Dogs,"Sep. 13, 1993",The WB Television Network,22m,"Nov. 14, 1998",Animacion,9.3,92
Trigun,"Sep. 17, 2010",Cartoon Network,23m,"Feb. 02, 2011",Action & Adventure,9.6,91
Bob’s Burgers,"Sep. 16, 1997",Cartoon Network,6m,"Jul. 24, 1999",Animacion,9.2,90
FullMetal Alchemist,"Aug. 21, 2004",Disney Channel,"30,22m","Aug. 25, 2006",Animacion,9.3,90
She-Ra y las Princesas del Poder (2018),"Sep. 20, 2003",ABC,30m,"Jun. 27, 2006",Animacion,9.3,89
Batman del futuro,"Apr. 04, 2015",Tokyo Metropolitan Television,24m,"Dec. 26, 2015",Animacion,9.5,89
Ergo proxy,"Mar. 17, 2010",Comedy Central,30m,"Apr. 25, 2012",Animacion,9.6,89
Fate/stay night [Unlimited Blade Works],"Jun. 10, 2016",Netflix,24m,"Dec. 14, 2018",Action & Adventure,9.6,89
Drama Total: Todos Estrellas y Isla Pahkitew,"Sep. 10, 1977",American Broadcasting Company,90m,"Oct. 28, 1978",Animacion,7.3,89
