name_serie,release_date,channel,runtime,end_date,genre,rating,votes
El show de Scooby Doo,"Jan. 02, 2008",Cartoon Network,30m,"Aug. 11, 2010",Animacion,9.7,68
Las Maravillosas Desventuras de Flapjack,"Jan. 21, 2005",Disney Channel,30m,"Aug. 12, 2007",Animacion,9.5,169
Jake Long: Dragón Occidental,"Feb. 23, 1995",Cartoon Network,30m,"Nov. 20, 2003",Animacion,9.3,87
El laboratorio de Dexter,"Oct. 02, 1965",NBC,30m,"Mar. 26, 1966",Animacion,8.7,14
Inspector Ardilla,"Apr. 03, 2004",Nickelodeon,22m,"Aug. 24, 2007",Action & Adventure,9.8,323
Danny Phantom,"Jan. 30, 1961",,7m,"Jan. 06, 1962",Animacion,8.5,14
El oso Yogui,"Dec. 27, 2005",Cartoon Network,30m,"Apr. 15, 2008",Action & Adventure,9.6,312
Ben 10,"Sep. 27, 1961",American Broadcasting Company,24m,"Apr. 18, 1962",Animacion,8.6,34
Don Gato y su pandilla,"Nov. 17, 2001",Cartoon NetworkWarner Home Video,23m,"May. 13, 2006",Action & Adventure,9.4,210
Liga De La Justicia,"Jul. 31, 2004",Cartoon Network,30m,"May. 13, 2006",Action & Adventure,9.4,134
Liga de la Justicia Ilimitada,"Jan. 04, 1999",Cartoon Network,30m,"Jun. 29, 2008",Animacion,9.5,99
"Ed, Edd y Eddy","Sep. 09, 2000",The WB Television Network,30m,"Jul. 08, 2005",Action & Adventure,9.5,149
Las aventuras de Jackie Chan,"Jan. 10, 1996",Fuji TV,25m,"May. 24, 1998",Action & Adventure,9.7,188
Samurái X,"Oct. 25, 2008",YTV,30m,"Jun. 04, 2011",Action & Adventure,9,88
Kid vs. Kat,"Oct. 07, 1996",Nickelodeon,30m,"Jun. 08, 2004",Animacion,9.7,264
"¡Oye, Arnold!","Nov. 28, 2008",Nickelodeon,11m,"Feb. 28, 2013",Animacion,9.6,156
